pdb,res,year,neglog_aff,affinity,ref,ligand,measurement
2d55,3,1995,7.455931956,35nM,209d.pdf,PXZ,IC50
209d,3,1995,5,10uM,209d.pdf,PXA,IC50
1arj,NMR,1996,3,1mM,1arj.pdf,ARG,Kd
316d,3,1997,7.110138279,77.6nM,316d.pdf,PXF,IC50
407d,2.2,1998,6.463441557,344nM,407d.pdf,HP1,Kd
408d,2.1,1998,7.318758763,48nM,407d.pdf,IPY,Kd
1qms,NMR,1999,9,1nM,1qms.pdf,CCI,Kd
1byj,NMR,1999,5.698970004,2uM,1byj.pdf,GE1,Kd
1db6,NMR,2000,4,0.1mM,1db6.pdf,AAR,Kd
1cvy,2.15,2000,6.420216403,0.38uM,1cvx.pdf,IPY,Kd
454d,1.2,2000,8,10nM,454d.pdf,RHM,Kd
1cvx,2.27,2000,4.958607315,11uM,1cvx.pdf,HP2,Kd
1f27,1.3,2000,6,1uM,1f27.pdf,BTN,Kd
1f1t,2.8,2000,7.397940009,40nM,1f1t.pdf,ROS,Kd
1qd3,NMR,2000,5.229147988,5.9uM,1qd3.pdf,RIB,Kd
1fyp,NMR,2001,5.602059991,2.5uM,1fyp.pdf,PAR,Kd
1i9v,2.6,2001,3.465973894,342uM,1i9v.pdf,NMY,Ki
1nzm,NMR,2003,6.48148606,0.33uM,1nzm.pdf,LG1,IC50
1q2t,NMR,2003,3.301029996,0.5mM,1q2t.pdf,DNA,Kd
1p96,NMR,2003,5.595166283,2.54uM,1p96.pdf,DDI,Kd
1qv8,2.5,2004,6.943095149,114nM,1qv4.pdf,BBZ,Kd
1qv4,2.5,2004,6.906578315,124nM,1qv4.pdf,MBB,Kd
1r4e,NMR,2004,5.273272791,5.33uM,1r4e.pdf,DDI,Kd
1q8n,NMR,2004,6.096910013,800nM,1q8n.pdf,MGR,Kd
1uts,NMR,2004,7.408935393,0.039uM,1uts.pdf,P13,Ki
1uud,NMR,2004,5.812479279,1.54uM,1uud.pdf,P14,Ki
1yrj,2.7,2005,6.698970004,0.2uM,1yrj.pdf,AM2,IC50
2bee,2.6,2005,7,0.10uM,2be0.pdf,JS4,Kd
2be0,2.63,2005,6.886056648,0.13uM,2be0.pdf,JS5,Kd
1ykv,3.3,2005,5,10uM,1yKv.pdf,DAI,Kd
2g5k,2.8,2006,6.301029996,0.5uM,2g5K.pdf,AM2,Kd
2b57,2.15,2006,7.769551079,17nM,2b57.pdf,6AP,Kd
2f4s,2.8,2006,4.721246399,19uM,2f4s.pdf,XXX,Kd
2f4t,3,2006,5.657577319,2.2uM,2f4s.pdf,AB9,Kd
2g9c,1.7,2006,5.698970004,2uM,2g9c.pdf,3AY,Kd
2f4u,2.6,2006,5.229147988,5.9uM,2f4s.pdf,AB6,Kd
2au4,NMR,2006,7.124938737,75nM,2au4.pdf,GTP,Kd
2o3w,2.8,2007,5.585026652,2.6uM,2o3v.pdf,PAR,Kd
3b31,2.4,2007,8.698970004,2nM,3b31.pdf,IRI,Kd
2o3x,2.9,2007,4.301029996,50uM,2o3v.pdf,N30,Kd
2jwq,NMR,2008,6.428291168,373nM,2jwq.pdf,MM0,IC50
3e5c,2.25,2008,9.244125144,0.57nM,3e5c.pdf,SAM,Kd
3fo4,1.9,2009,6.142667504,0.72uM,3fo4.pdf,6GU,Kd
3ger,1.7,2009,6.050609993,0.89uM,3fo4.pdf,6GU,Kd
2kgp,NMR,2009,6,1uM,2kgp.pdf,MIX,Kd
3fu2,2.85,2009,7.698970004,20nM,3fu2.pdf,PRF,Kd
3ges,2.15,2009,4.698970004,20uM,3fo4.pdf,6GO,Kd
3fo6,1.9,2009,4.638272164,23uM,3fo4.pdf,6GO,Kd
3gog,2.1,2009,4.619788758,24uM,3fo4.pdf,6GU,Kd
2kdq,NMR,2009,7.522878745,30nM,2kdq.pdf,14-mer,Kd
3ds7,1.85,2009,4.408935393,39uM,3ds7.pdf,GNG,Kd
3gao,1.9,2009,4.408935393,39uM,3fo4.pdf,XAN,Kd
